Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
MS,07X029,P.S./M.S. 029 Melrose School,X029U,The Melrose School (P.S./M.S. 29),Open,,
ES,07X030,P.S. 030 Wilton,07X030KG,Kindergarten,Non-Zoned,,
ES,07X030,P.S. 030 Wilton,07X030SP,Spanish Dual Language,Non-Zoned,,
ES,07X031,P.S./M.S. 031 The William Lloyd Garrison,07X031KG,Kindergarten,Non-Zoned,,
MS,07X031,P.S./M.S. 031 The William Lloyd Garrison,X031U,The William Lloyd Garrison (P.S./M.S. 31),Open,,
ES,07X043,P.S. 043 Jonas Bronck,07X043KG,Kindergarten,Non-Zoned,,
ES,07X049,P.S. 049 Willis Avenue,07X049KG,Kindergarten,Non-Zoned,,
ES,07X049,P.S. 049 Willis Avenue,07X049SP,Spanish Dual Language,Non-Zoned,,
ES,07X065,P.S. 065 Mother Hale Academy,07X065KG,Kindergarten,Non-Zoned,,
MS,07X151,J.H.S. 151 Lou Gehrig,X151U,Lou Gehrig Academy (M.S. 151),Open,,
ES,07X154,P.S. 154 Jonathan D. Hyatt,07X154KG,Kindergarten,Non-Zoned,,
ES,07X157,P.S. 157 Grove Hill,07X157KG,Kindergarten,Non-Zoned,,
ES,07X161,P.S. 161 Juan Ponce De Leon School,07X161KG,Kindergarten,Non-Zoned,,
ES,07X161,P.S. 161 Juan Ponce De Leon School,07X161SP,Spanish Dual Language,Non-Zoned,,
ES,07X179,P.S. 179,07X179KG,Kindergarten,Non-Zoned,,
HS,07X221,South Bronx Preparatory: A College Board School,X11X,South Bronx Preparatory,Ed. Opt.,,
MS,07X221,South Bronx Preparatory: A College Board School,X221S,South Bronx Preparatory: A College Board School,Screened,,Academic and Personal Behavior Scores; Attendance; Lateness
MS,07X223,The Laboratory School of Finance and Technology: X223,X223M,Screened: Language,Screened: Language,,"4th Grade New York State Math Exam; Attendance and Punctuality; Current ELL/Participation in Spanish DL Program; English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language; Final 4th Grade Report Card; Spanish Proficiency"
MS,07X223,The Laboratory School of Finance and Technology: X223,X223U,The Laboratory School of Finance and Technology: X223,Open,,
HS,07X223,The Laboratory School of Finance and Technology: X223,Y72A,Dual Language Spanish Program,Screened: Language,,
HS,07X223,The Laboratory School of Finance and Technology: X223,Y72B,The Laboratory School of Finance and Technology,Ed. Opt.,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
MS,07X224,P.S./I.S. 224,X224U,Science School for Exploration and Discovery (M.S. 224),Open,,
HS,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",X37A,"HERO High (Health, Education, and Research Occupations High School)",Ed. Opt.,,
ES,07X277,P.S. 277,07X277KG,Kindergarten,Non-Zoned,,
MS,07X296,South Bronx Academy for Applied Media,X296U,South Bronx Academy for Applied Media,Open,,
MS,07X298,Academy of Public Relations,X298M,Spanish Bilingual Program,Screened: Language,,Attendance; ELL Status; Home Language; Lateness; On-Site Assessment
MS,07X298,Academy of Public Relations,X298U,The Academy of Public Relations,Open,,
HS,07X334,International Community High School,Y23A,International Community High School,Screened: Language,,
MS,07X343,Academy of Applied Mathematics and Technology,X343U,Academy of Applied Mathematics & Technology (AAMT),Open,"Prioritize 25% of seats for applicants currently attending the following District 7 elementary schools: PS 1, PS49, PS 154, PS 277, PS 359, and PS 369. Prioritize 15% of seats for applicants currently attending the following District 7 elementary schools: PS 5, PS 18, PS 25, PS 29, PS 31, PS 157, and PS 161",
ES,07X359,Concourse Village Elementary School,07X359KG,Kindergarten,Non-Zoned,,
ES,07X369,Young Leaders Elementary School,07X369KG,Kindergarten,Non-Zoned,,
HS,07X427,Community School for Social Justice,X47A,Social Action,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
HS,07X473,Mott Haven Village Preparatory High School,X44X,Mott Haven Village Preparatory High School,Ed. Opt.,,
HS,07X495,University Heights Secondary School,X96A,Humanities,Screened,,Attendance; Course Grades: Average; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts; Writing Sample
HS,07X495,University Heights Secondary School,X96B,"STEM (Science, Technology, Engineering and Mathematics)",Screened,,Attendance; Course Grades: Average; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts; Writing Sample
HS,07X500,Hostos-Lincoln Academy of Science,X14J,Hostos-Lincoln Academy of Science,Screened,,Attendance; Course Grades: English; Standardized Test Scores: English Language Arts
MS,07X500,Hostos-Lincoln Academy of Science,X500M,Hostos-Lincoln Academy of Science,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Lateness
HS,07X522,Bronx Design and Construction Academy,Y51A,Building Construction and Technology,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Initial Filter: Attendance; Punctuality; School Visit"
HS,07X522,Bronx Design and Construction Academy,Y51B,Architecture and Design,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; School Visit"
HS,07X527,Bronx Leadership Academy II High School,Y49A,Bronx Leadership Academy II High School,Ed. Opt.,,Attendance; Standardized Test Scores: Average
HS,07X548,Careers in Sports High School,X31A,Careers in Sports High School,Ed. Opt.,,
HS,07X551,The Urban Assembly Bronx Academy of Letters,X27A,Bronx Academy of Letters,Open,,
MS,07X551,The Urban Assembly Bronx Academy of Letters,X551L,The Urban Assembly Bronx Academy Of Letters,Limited Unscreened,,
MS,07X584,I.S. 584,X584M,I.S. 584 Spanish Dual Language Program,Screened: Language,,"English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language"
MS,07X584,I.S. 584,X584U,I.S. 584 STEAM Program,Open,,
HS,07X600,Alfred E. Smith Career and Technical Education High School,X69C,NATEF Automotive Technology,Ed. Opt.,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
HS,07X600,Alfred E. Smith Career and Technical Education High School,X69D,Bilingual Spanish NATEF Automotive Technology,Screened: Language,,
HS,07X600,Alfred E. Smith Career and Technical Education High School,X69E,Graphic Arts,Screened,,Attendance; Course Grades: Average; Demonstrated Interest: School Visit; Punctuality; Standardized Test Scores: Average
HS,07X670,Health Opportunities High School,X71A,Health Opportunities High School,Ed. Opt.,,"Attendance; Standardized Test Scores: English Language Arts, Math"
ES,08X014,P.S. X014 Senator John Calandra,08X014KG,Kindergarten,Zoned,,
ES,08X036,P.S. 036 Unionport,08X036KG,Kindergarten,Zoned,,
ES,08X048,P.S. 048 Joseph R. Drake,08X048KG,Kindergarten,Zoned,,
ES,08X048,P.S. 048 Joseph R. Drake,08X048SP,Spanish Dual Language,Zoned,,
ES,08X062,P.S. 062 Inocensio Casanova,08X062KG,Kindergarten,Zoned,,
ES,08X069,P.S. 069 Journey Prep School,08X069KG,Kindergarten,Zoned,,
ES,08X071,P.S. 071 Rose E. Scala,08X071KG,Kindergarten,Zoned,,
MS,08X071,P.S. 071 Rose E. Scala,X071U,Rose E. Scala (P.S. 71),Open,,
ES,08X072,P.S. 072 Dr. William Dorney,08X072GTD,District Gifted & Talented,District G&T,,
ES,08X072,P.S. 072 Dr. William Dorney,08X072KG,Kindergarten,Zoned,,
ES,08X075,P.S. 75 School of Research and Discovery,08X075KG,Kindergarten,Zoned,,
ES,08X093,P.S. 093 Albert G. Oliver,08X093KG,Kindergarten,Zoned,,
ES,08X100,P.S. 100 Isaac Clason,08X100KG,Kindergarten,Zoned,,
MS,08X101,M.S. X101 Edward R. Byrne,X101A,The Edward R. Byrne School (M.S. 101) G&T Program,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Attendance; Final 4th Grade Report Card; Punctuality
MS,08X101,M.S. X101 Edward R. Byrne,X101U,The Edward R. Byrne School (M.S. 101) Academic Program,Open,,
ES,08X107,P.S. 107,08X107KG,Kindergarten,Zoned,,
ES,08X119,The Dr. Emmett W. Bassett School,08X119KG,Kindergarten,Zoned,,
MS,08X123,J.H.S. 123 James M. Kieran,X123U,The Bronx Urban Community Magnet School,Open,,
ES,08X130,P.S. 130 Abram Stevens Hewitt,08X130KG,Kindergarten,Zoned,,
MS,08X131,J.H.S. 131 Albert Einstein,X131U,The Albert Einstein School (J.H.S. 131),Open,,
ES,08X138,P.S. 138 Samuel Randall,08X138KG,Kindergarten,Zoned,,
ES,08X140,P.S. X140 The Eagle School,08X140KG,Kindergarten,Zoned,,
ES,08X146,P.S. 146 Edward Collins,08X146KG,Kindergarten,Zoned,,
ES,08X152,P.S. 152 Evergreen,08X152KG,Kindergarten,Zoned,,
ES,08X182,P.S. 182,08X182KG,Kindergarten,Zoned,,
MS,08X269,Bronx Studio School for Writers and Artists,X269U,Bronx Studio School for Writers and Artists,Open,,
HS,08X269,Bronx Studio School for Writers and Artists,Y28A,Bronx Studio School for Writers and Artists,Ed. Opt.,,"Attendance and Punctuality; Course Grades: English, Math, Science, Social Studies; Standardized Test Scores: English Language Arts, Math"
HS,08X282,Women's Academy of Excellence,Y01T,Women's Academy of Excellence,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
HS,08X293,Renaissance High School for Musical Theater and the Arts,X98A,Renaissance High School for Musical Theater and the Arts,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science; Punctuality; Standardized Test Scores: English Language Arts"
MS,08X301,M.S. 301 Paul L. Dunbar,X301U,The Paul L. Dunbar Middle School (M.S. 301),Open,,
MS,08X302,M.S. 302 Luisa Dessus Cruz,X302Z,Luisa Dessus Cruz Middle School (M.S. 302),Zoned,,
ES,08X304,P.S. 304 Early Childhood School,08X304KG,Kindergarten,Zoned,,
HS,08X312,Millennium Art Academy,X72A,Millennium Art Academy,Ed. Opt.,,"Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts, Math"
HS,08X320,Pelham Lab High School,X26A,Pelham Lab High School,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science; Punctuality; Standardized Test Scores: Average"
ES,08X333,The Longwood Academy of Discovery,08X333KG,Kindergarten,Zoned,,
MS,08X337,The School for Inquiry and Social Justice,X337U,The School for Inquiry and Social Justice,Open,,
HS,08X348,Schuylerville Preparatory High School,X57A,Schuylerville Preparatory High School,Ed. Opt.,,
HS,08X349,Bronx River High School,X24A,Bronx River High School,Ed. Opt.,,Attendance; Geographic Proximity
MS,08X367,"Archimedes Academy for Math, Science and Technology Applications",X367L,"Archimedes Academy for Math, Science and Technology Applications",Limited Unscreened,,
HS,08X367,"Archimedes Academy for Math, Science and Technology Applications",Y37A,"Archimedes Academy for Math, Science and Technology",Ed. Opt.,,Attendance; Course Grades: Science; Demonstrated Interest: School Visit; Initial Filter: Passing Course Average: Math and Science; Punctuality; Standardized Test Scores: Math
MS,08X371,Urban Institute of Mathematics,X371U,The Urban Institute of Mathematics,Open,,
MS,08X375,The Bronx Mathematics Preparatory School,X375L,The Bronx Mathematics Preparatory School,Limited Unscreened,,
MS,08X376,Antonia Pantoja Preparatory Academy: A College Board School,X376L,The Antonia Pantoja Preparatory Academy: A College Board School,Limited Unscreened,,
HS,08X376,Antonia Pantoja Preparatory Academy: A College Board School,Y34A,Antonia Pantoja Preparatory Academy: A College Board School,Open,,
ES,08X392,Bronx Delta School,08X392KG,Kindergarten,Zoned,,
HS,08X405,Herbert H. Lehman High School,X16A,Computer Science/Information Technology Program,Ed. Opt.,,"Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts, Math"
HS,08X405,Herbert H. Lehman High School,X16B,Anne Hutchinson Honors Program,Screened,,Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts
HS,08X405,Herbert H. Lehman High School,X16Z,Zoned,Zoned Priority,,
MS,08X424,The Hunts Point School,X424U,The Hunts Point School,Open,,
HS,08X432,Bronx Bridges High School,Y47A,Bronx Bridges High School,Screened: Language,,
MS,08X448,Soundview Academy for Culture and Scholarship,X448L,Soundview Academy for Culture and Scholarship,Limited Unscreened,,
HS,08X452,Gotham Collaborative High School,X32A,Gotham Collaborative,Ed. Opt.,,"Attendance; Course Grades: English, Math; Standardized Test Scores: English Language Arts, Math"
MS,09X232,I.S. 232,X232U,The Alexander Macomb School I.S. 232,Open,,
MS,08X467,Mott Hall Community School,X467S,Mott Hall Community School Science Program,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; On-Site Assessment
MS,08X467,Mott Hall Community School,X467U,Mott Hall Community School,Open,,
HS,08X530,Longwood Preparatory Academy,X94A,Longwood Preparatory Academy,Ed. Opt.,,"Attendance; Standardized Test Scores: English Language Arts, Math; Student Intake Required"
HS,08X558,Westchester Square Academy,Y58A,Westchester Square Academy,Ed. Opt.,,Attendance; Course Grades: Average; Individual Interview (On-Site); Standardized Test Scores: Average
HS,08X558,Westchester Square Academy,Y58B,Westchester Square Academy Honors Program,Screened,,Attendance; Course Grades: Average; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts; Writing Sample
HS,08X559,School for Tourism and Hospitality,Y59A,School for Tourism and Hospitality,Ed. Opt.,,
HS,08X561,Bronx Compass High School,Y61A,Bronx Compass High School,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
MS,08X562,Blueprint Middle School,X562U,Blueprint Middle School,Open,,
ES,08X583,P.S. 583,08X583KG,Kindergarten,Zoned,,
ES,09X004,P.S./M.S. 004 Crotona Park West,09X004KG,Kindergarten,Zoned,,
MS,09X004,P.S./M.S. 004 Crotona Park West,X004Z,Crotona Park West (P.S./M.S. 4),Zoned,,
ES,09X011,P.S. 011 Highbridge,09X011KG,Kindergarten,Zoned,,
ES,09X011,P.S. 011 Highbridge,09X011SP,Spanish Dual Language,Zoned,,
MS,09X022,J.H.S. 022 Jordan L. Mott,X022U,Jordan L. Mott (M.S. 22),Open,,
ES,09X028,P.S. 028 Mount Hope,09X028KG,Kindergarten,Zoned,,
ES,09X035,P.S. 035 Franz Siegel,09X035KG,Kindergarten,Zoned,,
ES,09X042,P.S. 042 Claremont,09X042KG,Kindergarten,Zoned,,
ES,09X053,P.S. 053 Basheer Quisim,09X053KG,Kindergarten,Zoned,,
ES,09X053,P.S. 053 Basheer Quisim,09X053SP,Spanish Dual Language,Zoned,,
ES,09X055,P.S. 055 Benjamin Franklin,09X055KG,Kindergarten,Zoned,,
ES,09X058,P.S. 058,09X058KG,Kindergarten,Zoned,,
ES,09X063,P.S. 063 Author's Academy,09X063KG,Kindergarten,Zoned,,
ES,09X070,P.S. 070 Max Schoenfeld,09X070KG,Kindergarten,Zoned,,
ES,09X070,P.S. 070 Max Schoenfeld,09X070SP,Spanish Dual Language,Zoned,,
ES,09X073,P.S. 073 Bronx,09X073KG,Kindergarten,Zoned,,
ES,09X073,P.S. 073 Bronx,09X073SP,Spanish Dual Language,Zoned,,
ES,09X088,P.S. X088 - S. Silverstein Little Sparrow School,09X088KG,Kindergarten,Zoned,,
ES,09X109,P.S. 109 Sedgwick,09X109KG,Kindergarten,Zoned,,
ES,09X109,P.S. 109 Sedgwick,09X109SP,Spanish Dual Language,Zoned,,
ES,09X110,P.S. 110 Theodore Schoenfeld,09X110KG,Kindergarten,Zoned,,
ES,09X114,P.S. X114 - Luis Llorens Torres Schools,09X114KG,Kindergarten,Zoned,,
MS,09X117,I.S. 117 Joseph H. Wade,X117U,Joseph H. Wade Academies (M.S. 117),Open,,
ES,09X126,P.S. 126 Dr Marjorie H Dunbar,09X126KG,Kindergarten,Zoned,,
MS,09X128,Mott Hall III,X128S,Mott Hall III,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
